Vertice,x,y,Referencia,adjacente,adjacente,adjacente,adjacente
0,984,597,B0,19,20,-1,-1
1,872,274,B18,2,44,-1,-1
2,872,238,B0,1,3,32,-1
3,800,238,B0,45,2,-1,-1
4,800,360,B0,45,38,6,-1
5,871,350,B17,38,-1,-1,-1
6,683,360,B0,4,13,63,64
7,1007,373,B0,41,39,33,-1
8,1007,417,B0,46,9,20,-1
9,1038,417,B0,8,37,-1,-1
10,1066,445,B0,11,36,-1,-1
11,1138,445,B0,10,26,-1,-1
12,1138,520,B0,24,25,-1,-1
13,683,404,BB,6,14,64,73
14,683,481,B0,13,30,15,73
15,799,481,B0,14,17,34,-1
16,871,479,B0,50,34,51,58
17,799,566,B0,31,18,15,55
18,799,619,B0,28,17,19,35
19,951,619,B0,18,0,-1,-1
20,1007,559,B0,0,8,21,54
21,1083,559,B0,20,22,-1,-1
22,1083,575,B0,21,23,-1,-1
23,1138,575,B0,22,24,-1,-1
24,1138,542,B52,23,12,-1,-1
25,1138,480,B0,26,12,-1,-1
26,1138,464,B53,25,11,-1,-1
27,755,637,B0,35,28,-1,-1
28,755,619,B0,29,18,27,-1
29,755,566,B0,31,30,28,-1
30,683,566,B0,14,29,71,-1
31,763,556,B0,17,29,-1,-1
32,1007,238,B0,2,43,-1,-1
33,871,373,B0,38,7,48,-1
34,799,479,B0,16,15,-1,-1
35,799,637,B0,27,18,-1,-1
36,1066,429,B0,10,37,-1,-1
37,1038,429,B0,9,36,-1,-1
38,871,360,B0,33,5,4,-1
39,1007,369,B0,43,7,40,-1
40,997,362,B19,39,-1,-1,-1
41,1007,387,B0,42,7,46,-1
42,991,387,TecnoUnisc,41,-1,-1,-1
43,1007,311,B0,32,39,44,-1
44,872,311,B0,43,1,45,-1
45,800,311,B0,4,3,44,-1
46,1007,404,B0,8,41,47,-1
47,959,404,B0,46,48,49,-1
48,871,404,B0,47,33,50,-1
49,959,444,B0,47,50,60,-1
50,871,444,B0,48,49,16,-1
51,959,479,B0,60,16,61,-1
52,959,545,B0,61,53,-1,-1
53,973,545,B0,52,62,-1,-1
54,973,559,B0,62,20,55,-1
55,871,556,B0,54,17,56,-1
56,871,534,B12,55,58,-1,-1
57,969,525,B0,61,-1,-1,-1
58,871,493,B0,56,16,-1,-1
59,968,454,B20,60,-1,-1,-1
60,959,454,B0,49,59,51,-1
61,959,525,B0,51,57,52,-1
62,973,556,B0,53,54,-1,-1
63,683,328,B0,74,6,-1,-1
64,683,360,B0,65,6,13,-1
65,601,394,B0,64,66,67,-1
66,601,377,B5,65,-1,-1,-1
67,601,411,B4,65,68,-1,-1
68,601,455,B3,67,69,-1,-1
69,601,476,B0,68,73,70,-1
70,601,491,B2,69,71,-1,-1
71,601,534,B1,70,72,-1,-1
72,601,566,B0,71,30,-1,-1
73,683,476,,69,14,13,-1
74,695,328,B10,63,-1,-1,-1
